,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
413,dareyame,2005年。当時33歳の私が「お友だちが来たら外食に困らない楽しい吉祥寺だけど、ひとりの時におひたしやお味噌汁を食べられるお店がないなぁ」と思い、バーオハナを作りました。パパッと友人と集まれなくなった30歳以上の働き盛りの独身の方、共働きのご夫婦、自炊の息抜きに寄れる居酒屋です！全面禁煙です♬,東京都武蔵野市吉祥寺本町(吉祥寺駅東口から徒歩1分)日月休み,4480,3189,192297,1,"こちら22:00くらいまでいますので

まだまだ連絡ください

テイクアウトお作りします！

#バーオハナ #鶏たたき #ひとりで飲める #リツイ大歓迎 #テイクアウト大歓迎 #野菜 #Jfood #鹿児島 #nosmoking… https://t.co/cXecBMAqYA","['バーオハナ', '鶏たたき', 'ひとりで飲める', 'リツイ大歓迎', 'テイクアウト大歓迎', '野菜', 'Jfood', '鹿児島', 'nosmoking']"
414,NetLawman,Retailer of legal document templates. Strong advocate of use of plain English in law.,UK,3158,3148,6597,0,A comprehensive no smoking policy document template that helps your organisation to comply with health and safety l… https://t.co/DsWW2UuIU3,[]
415,dareyame,2005年。当時33歳の私が「お友だちが来たら外食に困らない楽しい吉祥寺だけど、ひとりの時におひたしやお味噌汁を食べられるお店がないなぁ」と思い、バーオハナを作りました。パパッと友人と集まれなくなった30歳以上の働き盛りの独身の方、共働きのご夫婦、自炊の息抜きに寄れる居酒屋です！全面禁煙です♬,東京都武蔵野市吉祥寺本町(吉祥寺駅東口から徒歩1分)日月休み,4480,3189,192297,0,"ホタルイカどーですかー？

#吉祥寺アルバイト募集中 #スタッフ募集中 #オトナ女子大歓迎  #終電遅い方希望 #バーオハナ #鶏たたき #ひとりで飲める #リツイ大歓迎 #テイクアウト大歓迎 #野菜 #Jfood #鹿児島… https://t.co/CJhAgouYgS","['吉祥寺アルバイト募集中', 'スタッフ募集中', 'オトナ女子大歓迎', '終電遅い方希望', 'バーオハナ', '鶏たたき', 'ひとりで飲める', 'リツイ大歓迎', 'テイクアウト大歓迎', '野菜', 'Jfood', '鹿児島']"
416,dareyame,2005年。当時33歳の私が「お友だちが来たら外食に困らない楽しい吉祥寺だけど、ひとりの時におひたしやお味噌汁を食べられるお店がないなぁ」と思い、バーオハナを作りました。パパッと友人と集まれなくなった30歳以上の働き盛りの独身の方、共働きのご夫婦、自炊の息抜きに寄れる居酒屋です！全面禁煙です♬,東京都武蔵野市吉祥寺本町(吉祥寺駅東口から徒歩1分)日月休み,4480,3189,192297,0,"すじこのおにぎりどーですかー？

#バーオハナ #鶏たたき #ひとりで飲める #リツイ大歓迎 #テイクアウト大歓迎 #野菜 #Jfood #鹿児島 #nosmoking #ヨドバシ裏 #吉祥寺居酒屋 #地方発送… https://t.co/8ygMBa6Zt6","['バーオハナ', '鶏たたき', 'ひとりで飲める', 'リツイ大歓迎', 'テイクアウト大歓迎', '野菜', 'Jfood', '鹿児島', 'nosmoking', 'ヨドバシ裏', '吉祥寺居酒屋', '地方発送']"
417,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,Show off your lung power within a few weeks. Take your first step today to Quit Smoking - https://t.co/gYRltl8WjR… https://t.co/N07qF6bmyo,[]
418,2baconil,"2baconil is India's first 24 hour Nicotine Transdermal Patch, which serves as an aid to Quit Smoking / Chewing Tobacco.",India,432,1124,5344,1,Show off your lung power within a few weeks. Take your first step today to Quit Smoking - https://t.co/gYRltl8WjR… https://t.co/N07qF6bmyo,[]
419,MarcusSmithOve1,"The Official Twitter Page for ""Marcus"" on the road to The Mr. International Leather Competition. A rural gay #Texas man going to compete for Mr. #IML2022",Rural North East Texas,94,330,1764,1,I was once a smoker- DURING MY #IML challenge THERE WILL NOT BE ANY REFERNCE TO TOBACCO USE OR PRODUCTS! #NoSmoking… https://t.co/xSkfuHFgkO,"['IML', 'NoSmoking']"
420,ClaireAnnRuth,⭐️anything can happen if you let it⭐️,"Mount Vernon, Glasgow",674,615,30948,0,"#NoSmoking 🚭update...
DAY 24 ... still off the cigs - did I just type that &amp; actually mean it? YES! Yes, I bloody w… https://t.co/Fdh4x9cJPJ",['NoSmoking']
421,j_oconnor37,"Retired engineer. I am a frightened person, the world frightens me almost to death about once a day.",,15,63,10356,0,https://t.co/9fLYu8poKB Please sign and retweet 🙏🏻🙏🏻 #bringbackpiers #bringthetea #wednesdaythought… https://t.co/foyC1B28yc,"['bringbackpiers', 'bringthetea', 'wednesdaythought', 'nosmokingday2021']"
422,j_oconnor37,"Retired engineer. I am a frightened person, the world frightens me almost to death about once a day.",,15,63,10356,0,https://t.co/9fLYu8poKB Please sign and retweet 🙏🏻🙏🏻 You could be next! #bringbackpiers #bringthetea… https://t.co/udfEQsEy1B,"['bringbackpiers', 'bringthetea', 'nosmokingday2021']"
423,UKECIGSTORE,UK's Online vape supplier + 9 E-cigarette and E-liquid Retail stores across London. 18+ Only. #UKECIGSTORE,"London, England",1222,7685,8245,0,"Vape clouds.. big or small?👇👀

#vape #vaping #vapelife #vapeporn #vapecommunity #coils #vapeallday #socialvapers… https://t.co/rAOhUX6k83","['vape', 'vaping', 'vapelife', 'vapeporn', 'vapecommunity', 'coils', 'vapeallday', 'socialvapers']"
424,MAY_Cosmetics_,We at MAY Cosmetics strive towards the policy where the women’s of our society can showcase their natural self.,"Delhi,  India",1,4,145,0,"Beauty Sins 2❌ - Some of the toxins in cigarette smoke damage collagen and elastin, which are fibrous components of… https://t.co/mrWkkwDvTh",[]
425,Amitsrkfanboy,writer,,102,121,5047,0,"#NOsmoking &gt;&gt;&gt; #Inception
Kya bawal movie he bhaisab 😱😱
The only Indion movie who can challenge inception momento s… https://t.co/VNS4vx1N26","['NOsmoking', 'Inception']"
426,rohitt_09_,Believe in yourself 🤗,Surat Gujarat,6,1,10,0,#nosmoking #new #viral #showsomelove https://t.co/5fklZxXsYM,"['nosmoking', 'new', 'viral', 'showsomelove']"
427,roshcov,"Digital Artist, Photographer & Graphic Designer
http://foundation.app/roshcov","Barcelona, Spain",75,79,282,0,"PLANT MORE AND DON'T SMOKE✌️

This is one of my artworks from collection with hands.
You can check more of my works… https://t.co/EcwuSBYpt0",[]
428,dareyame,2005年。当時33歳の私が「お友だちが来たら外食に困らない楽しい吉祥寺だけど、ひとりの時におひたしやお味噌汁を食べられるお店がないなぁ」と思い、バーオハナを作りました。パパッと友人と集まれなくなった30歳以上の働き盛りの独身の方、共働きのご夫婦、自炊の息抜きに寄れる居酒屋です！全面禁煙です♬,東京都武蔵野市吉祥寺本町(吉祥寺駅東口から徒歩1分)日月休み,4480,3189,192297,0,"酒盗カルボナーラ
褒めてもらった

#バーオハナ #鶏たたき #ひとりで飲める #リツイ大歓迎 #テイクアウト大歓迎 #野菜 #Jfood #鹿児島 #nosmoking #ヨドバシ裏 #吉祥寺居酒屋 #地方発送… https://t.co/srMt0ge0jc","['バーオハナ', '鶏たたき', 'ひとりで飲める', 'リツイ大歓迎', 'テイクアウト大歓迎', '野菜', 'Jfood', '鹿児島', 'nosmoking', 'ヨドバシ裏', '吉祥寺居酒屋', '地方発送']"
