,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
196,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,"I walked to town yesterday morning and overtook a guy holding a cigarette and can of beer in one hand, and a mobile… https://t.co/4B5CDGQMsz",[]
197,GrouchTerri,"Plain-speaking Yorkshire woman.  You can tell a Yorkshire-man, but you can't tell him much!",East Yorkshire,67,33,539,1,"I walked to town yesterday morning and overtook a guy holding a cigarette and can of beer in one hand, and a mobile… https://t.co/4B5CDGQMsz",[]
198,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,How to quit smoking| How to quit smoking in 10 days| quit smoking in 10 ... https://t.co/q3knnxsPd1 via @YouTube… https://t.co/nKPOHAlc9f,[]
199,rohitjadhav2424,"Always practicing positivity.
Digital marketer/Google ads expert",,106,2,81,1,How to quit smoking| How to quit smoking in 10 days| quit smoking in 10 ... https://t.co/q3knnxsPd1 via @YouTube… https://t.co/nKPOHAlc9f,[]
200,2804kitcat,"Current adventure as a fine dining waitress.  I like coffee, books and cats. The odds are stacked against me. Nihilistic. Insta- janeannaphilip","Johor Bahru, Johor",442,292,62534,0,"My elderly neighbouring uncle smokes daily outside his house , but every time we pass him by , he quickly goes in b… https://t.co/IbGnqYvct0",[]
201,drrangarao,"Medical Oncologist with over 25 years of experience in India. Passionate, with organisational and administrative ability.
Chairman, Paras Cancer Centre
Gurugram","New Delhi, India",26,138,322,0,New survey data shows an estimated 5 million teens use e-cigarettes and … of students vaping nicotine has now grown… https://t.co/MplgZz1Rcj,[]
202,NewingtonChemi1,Welcome to the #Newington #Pharmacy Twitter page. A friendly #community pharmacy at the heart of #Newington in #Ramsgate #Kent Now under new ownership!,"Ramsgate, England",326,123,1620,0,"If you want to quit #smoking, we can help you. Please come and visit us.
-
Address: Newington Pharmacy, 47 - 49 New… https://t.co/VllR39d0mx",['smoking']
203,PavitharKaur,,,207,144,3728,0,"My elderly neighbouring uncle smokes daily outside his house , but every time we pass him by , he quickly goes in b… https://t.co/IbGnqYvct0",[]
204,p00jasuresh,INFP-T 🌱,Malaysia,811,141,15130,2,"My elderly neighbouring uncle smokes daily outside his house , but every time we pass him by , he quickly goes in b… https://t.co/IbGnqYvct0",[]
205,COPD_research,A bot that retweets the tag #COPD Use the tag to reach out to followers. Own tweets may occur.,,7,3083,97946,0,"Brown Ribbon Month!
#worldnotobaccoday #abovetheinfluence #truthcampaign #smokingkills #stroke #heartdisease… https://t.co/qVFPdwS5DJ","['worldnotobaccoday', 'abovetheinfluence', 'truthcampaign', 'smokingkills', 'stroke', 'heartdisease', 'cancer']"
